,,,1754522970792,,,,,,,,,,,,,,,,,,,2025-10-24,,,,,,,,
https://www.kickstarter.com/projects/ericfrombloatgames/overworld-omnibus-for-5e-and-dcc-rpg-ttrpg-monster-manual/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11064628#11064628,,https://kicktraq.com/projects/ericfrombloatgames/overworld-omnibus-for-5e-and-dcc-rpg-ttrpg-monster-manual/,5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,Overworld Omnibus for 5e and DCC RPG - TTRPG Monster Manual,September 16 2024,Y,USD,"8,759.00",1,"8,759.00",Y,N,Y,"$8,759",262.00%,Ended,8759,1739812326697,September 9 2024,"Inspired by retro video games. Collects Overworld, Nightworld, Pipeworld, Roboworld, and Space Station M into an 8.5""x11"" Hardcover",https://i.kickstarter.com/assets/046/234/473/c87be6a3798c68410332e975ff545f2a_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=3NJj%2BrKbwjCvgzTHExyQEynnDZKukNK%2B%2BQhX8bgHC6c%3D,"[size=14][b][url=https://www.kickstarter.com/projects/ericfrombloatgames/overworld-omnibus-for-5e-and-dcc-rpg-ttrpg-monster-manual/?ref=kicktraq]Overworld Omnibus for 5e and DCC RPG - TTRPG Monster Manual[/url][/b][/size][q]Inspired by retro video games. Collects Overworld, Nightworld, Pipeworld, Roboworld, and Space Station M into an 8.5""x11"" Hardcover[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/234/473/c87be6a3798c68410332e975ff545f2a_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=3NJj%2BrKbwjCvgzTHExyQEynnDZKukNK%2B%2BQhX8bgHC6c%3D[/inlineimg][/floatleft][b]Deadline:[/b]09-16-2024[url=https://kicktraq.com/projects/ericfrombloatgames/overworld-omnibus-for-5e-and-dcc-rpg-ttrpg-monster-manual/][IMG]https://kicktraq.com/projects/ericfrombloatgames/overworld-omnibus-for-5e-and-dcc-rpg-ttrpg-monster-manual//minichart.png[/IMG][/url]","$3,343.13",,"8,759.00",,1
https://www.kickstarter.com/projects/smokingwyrm/tales-from-the-smoking-wyrm-issue-10?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11092172#11092172,,https://kicktraq.com/projects/smokingwyrm/tales-from-the-smoking-wyrm-issue-10/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,Tales from the Smoking Wyrm Issue 10,October 8 2024,Y,USD,"10,936.00",1,"10,936.00",Y,N,Y,"$10,936",182.00%,Ended,10936,1739812326745,September 17 2024,Heading back in for all that juicy DCC goodness!,https://i.kickstarter.com/assets/045/878/862/bb3f1c51f7678cb1f072367649a7d0c9_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=WzCjXy3OIKCTF60qqeY%2BfAhA5iWmnZBTV1ykND4fOzw%3D,[size=14][b][url=https://www.kickstarter.com/projects/smokingwyrm/tales-from-the-smoking-wyrm-issue-10?ref=kicktraq]Tales from the Smoking Wyrm Issue 10[/url][/b][/size][q]Heading back in for all that juicy DCC goodness![/q][floatleft][inlineimg]https://i.kickstarter.com/assets/045/878/862/bb3f1c51f7678cb1f072367649a7d0c9_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=WzCjXy3OIKCTF60qqeY%2BfAhA5iWmnZBTV1ykND4fOzw%3D[/inlineimg][/floatleft][b]Deadline:[/b]10-08-2024[url=https://kicktraq.com/projects/smokingwyrm/tales-from-the-smoking-wyrm-issue-10/][IMG]https://kicktraq.com/projects/smokingwyrm/tales-from-the-smoking-wyrm-issue-10//minichart.png[/IMG][/url],"$6,008.79",,"10,936.00",,1
https://www.kickstarter.com/projects/lootthebody/against-the-cult-of-the-hippie-commune?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11088605#11088605,,https://kicktraq.com/projects/lootthebody/against-the-cult-of-the-hippie-commune/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,Against the Cult of the Hippie Commune,October 16 2024,Y,USD,"6,898.00",1,"6,898.00",Y,N,Y,"$6,898",229.00%,Ended,6898,1739812326766,September 16 2024,A Zine and Soundtrack for Dungeon Crawl Classics,https://i.kickstarter.com/assets/046/199/147/813c69f99aa59b8d10522635cabcf303_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=9pinqWdWnUpWEzN%2BiZAmp3wBGtz7R6nWJKo5SXCex3U%3D,[size=14][b][url=https://www.kickstarter.com/projects/lootthebody/against-the-cult-of-the-hippie-commune?ref=kicktraq]Against the Cult of the Hippie Commune[/url][/b][/size][q]A Zine and Soundtrack for Dungeon Crawl Classics[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/199/147/813c69f99aa59b8d10522635cabcf303_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=9pinqWdWnUpWEzN%2BiZAmp3wBGtz7R6nWJKo5SXCex3U%3D[/inlineimg][/floatleft][b]Deadline:[/b]10-16-2024[url=https://kicktraq.com/projects/lootthebody/against-the-cult-of-the-hippie-commune/][IMG]https://kicktraq.com/projects/lootthebody/against-the-cult-of-the-hippie-commune//minichart.png[/IMG][/url],"$3,012.23",,"6,898.00",,1
https://www.kickstarter.com/projects/weirdworks/the-undergoblin-heist-rpg-adventure-for-5e-and-dcc/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11185776#11185776,,https://kicktraq.com/projects/weirdworks/the-undergoblin-heist-rpg-adventure-for-5e-and-dcc/,5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,The Undergoblin Heist - RPG adventure for 5E and DCC,October 30 2024,Y,USD,"6,561.00",1,"6,561.00",Y,N,Y,"$6,561",262.00%,Ended,6561,1739812326812,October 15 2024,A sandbox heist adventure featuring goblin-on-goblin hijinks. Written for Dungeons & Dragons 5E and Dungeon Crawl Classics.,https://i.kickstarter.com/assets/046/638/373/1589935f7c60a3af8ab147bf617e02bc_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=aoOr%2B%2Bzg7JaD9MCT1Ecr6LbCkmPw7M%2Bo4%2FyoSL2k1i0%3D,[size=14][b][url=https://www.kickstarter.com/projects/weirdworks/the-undergoblin-heist-rpg-adventure-for-5e-and-dcc/?ref=kicktraq]The Undergoblin Heist - RPG adventure for 5E and DCC[/url][/b][/size][q]A sandbox heist adventure featuring goblin-on-goblin hijinks. Written for Dungeons & Dragons 5E and Dungeon Crawl Classics.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/638/373/1589935f7c60a3af8ab147bf617e02bc_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=aoOr%2B%2Bzg7JaD9MCT1Ecr6LbCkmPw7M%2Bo4%2FyoSL2k1i0%3D[/inlineimg][/floatleft][b]Deadline:[/b]10-30-2024[url=https://kicktraq.com/projects/weirdworks/the-undergoblin-heist-rpg-adventure-for-5e-and-dcc/][IMG]https://kicktraq.com/projects/weirdworks/the-undergoblin-heist-rpg-adventure-for-5e-and-dcc//minichart.png[/IMG][/url],"$2,504.20",,"6,561.00",,1
https://www.kickstarter.com/projects/nerdronomicon/the-sorcerers-return/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11130870#11130870,,https://kicktraq.com/projects/nerdronomicon/the-sorcerers-return/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,The Sorcerer's Return – DCC Adventure Zine,October 31 2024,Y,USD,"3,318.00",1,"3,318.00",Y,N,Y,"$3,318",110.00%,Ended,3318,1739812326814,September 30 2024,Mystery and intrigue await in this grimdark Dungeon Crawl Classics zine for 1st-level characters.,https://i.kickstarter.com/assets/046/274/512/d3dd2093e10e56feda18027b400004ed_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=jcrx4QPcdDCqiNAeTztzuwJD0wE6LcBI5LccNwtJ51g%3D,[size=14][b][url=https://www.kickstarter.com/projects/nerdronomicon/the-sorcerers-return/?ref=kicktraq]The Sorcerer's Return – DCC Adventure Zine[/url][/b][/size][q]Mystery and intrigue await in this grimdark Dungeon Crawl Classics zine for 1st-level characters.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/274/512/d3dd2093e10e56feda18027b400004ed_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=jcrx4QPcdDCqiNAeTztzuwJD0wE6LcBI5LccNwtJ51g%3D[/inlineimg][/floatleft][b]Deadline:[/b]10-31-2024[url=https://kicktraq.com/projects/nerdronomicon/the-sorcerers-return/][IMG]https://kicktraq.com/projects/nerdronomicon/the-sorcerers-return//minichart.png[/IMG][/url],"$3,016.36",,"3,318.00",,
https://www.kickstarter.com/projects/1580058713/secret-of-the-whispering-god?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11135099#11135099,,https://kicktraq.com/projects/1580058713/secret-of-the-whispering-god/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,Secret of the Whispering God,October 31 2024,Y,USD,"3,607.00",1,"3,607.00",Y,N,Y,"$3,607",360.00%,Ended,3607,1739812326820,October 1 2024,Core Books & a Sword & Sorcery Adventure for DCC.,https://i.kickstarter.com/assets/046/697/808/31928bb23e3746ed69659e8fe45026dd_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=wZrZp145oOoSYrBmwYJbsOVCL0znAB8nBE87uyx5ksA%3D,[size=14][b][url=https://www.kickstarter.com/projects/1580058713/secret-of-the-whispering-god?ref=kicktraq]Secret of the Whispering God[/url][/b][/size][q]Core Books & a Sword & Sorcery Adventure for DCC.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/697/808/31928bb23e3746ed69659e8fe45026dd_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=wZrZp145oOoSYrBmwYJbsOVCL0znAB8nBE87uyx5ksA%3D[/inlineimg][/floatleft][b]Deadline:[/b]10-31-2024[url=https://kicktraq.com/projects/1580058713/secret-of-the-whispering-god/][IMG]https://kicktraq.com/projects/1580058713/secret-of-the-whispering-god//minichart.png[/IMG][/url],"$1,001.94",,"3,607.00",,
https://www.kickstarter.com/projects/waywardstudiosrpg/from-out-of-gnollwhere-book-2-gnolledge-is-power/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11224058#11224058,,https://kicktraq.com/projects/waywardstudiosrpg/from-out-of-gnollwhere-book-2-gnolledge-is-power/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,From Out of Gnollwhere Book 2: Gnolledge is Power!,December 1 2024,Y,USD,"2,724.00",1,"2,724.00",Y,N,Y,"$2,724",181.00%,Ended,2724,1739812326920,November 1 2024,"""Gnolledge is Power"" is a Dungeon Crawl Classics-compatible adventure for 4-6 3rd level characters.",https://i.kickstarter.com/assets/047/123/734/5dc8797c41fd572ffde1929094d6c4a3_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=huIuIen4Q7ivqbTnD%2FUTEjwO2mpprqqu8oBExvJvMkI%3D,"[size=14][b][url=https://www.kickstarter.com/projects/waywardstudiosrpg/from-out-of-gnollwhere-book-2-gnolledge-is-power/?ref=kicktraq]From Out of Gnollwhere Book 2: Gnolledge is Power![/url][/b][/size][q]""Gnolledge is Power"" is a Dungeon Crawl Classics-compatible adventure for 4-6 3rd level characters.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/123/734/5dc8797c41fd572ffde1929094d6c4a3_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=huIuIen4Q7ivqbTnD%2FUTEjwO2mpprqqu8oBExvJvMkI%3D[/inlineimg][/floatleft][b]Deadline:[/b]12-01-2024[url=https://kicktraq.com/projects/waywardstudiosrpg/from-out-of-gnollwhere-book-2-gnolledge-is-power/][IMG]https://kicktraq.com/projects/waywardstudiosrpg/from-out-of-gnollwhere-book-2-gnolledge-is-power//minichart.png[/IMG][/url]","$1,504.97",,"2,724.00",,1
https://www.kickstarter.com/projects/traitorousalf/the-ashmore-herald-vol-2-what-remains-of-house-ducrane/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11224074#11224074,,https://kicktraq.com/projects/traitorousalf/the-ashmore-herald-vol-2-what-remains-of-house-ducrane/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,The Ashmore Herald Vol. 2: What Remains of House DuCrane,December 1 2024,Y,USD,"2,987.00",1,"2,987.00",Y,N,Y,"$2,987",199.00%,Ended,2987,1739812326920,November 1 2024,A Level-0 Funnel for DCC RPG that takes place in a haunted house where the servants need to escape before the house claims more victims,https://i.kickstarter.com/assets/046/539/251/fedb33edaa203653a35a7d67a6d0c7f1_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=Au%2Fu34o8EnDz89p3HFXQEAco7AOKYvybmJYtXN0S8jk%3D,[size=14][b][url=https://www.kickstarter.com/projects/traitorousalf/the-ashmore-herald-vol-2-what-remains-of-house-ducrane/?ref=kicktraq]The Ashmore Herald Vol. 2: What Remains of House DuCrane[/url][/b][/size][q]A Level-0 Funnel for DCC RPG that takes place in a haunted house where the servants need to escape before the house claims more victims[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/046/539/251/fedb33edaa203653a35a7d67a6d0c7f1_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=Au%2Fu34o8EnDz89p3HFXQEAco7AOKYvybmJYtXN0S8jk%3D[/inlineimg][/floatleft][b]Deadline:[/b]12-01-2024[url=https://kicktraq.com/projects/traitorousalf/the-ashmore-herald-vol-2-what-remains-of-house-ducrane/][IMG]https://kicktraq.com/projects/traitorousalf/the-ashmore-herald-vol-2-what-remains-of-house-ducrane//minichart.png[/IMG][/url],"$1,501.01",,"2,987.00",,1
https://www.kickstarter.com/projects/mcfunk/dcc-massive-modules-and-much-more-goblin-holiday-bundle/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11258366#11258366,,https://kicktraq.com/projects/mcfunk/dcc-massive-modules-and-much-more-goblin-holiday-bundle/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,DCC MASSIVE Modules and Much More: Goblin Holiday Bundle,December 11 2024,Y,USD,"13,347.00",1,"13,347.00",Y,N,Y,"$13,347",121.00%,Ended,13347,1739812326946,November 11 2024,A Tale of Two Sisters concludes with two folklore-inspired adventures for DCC and supplement materials for all kinds of fantasy RPGs!,https://i.kickstarter.com/assets/047/001/436/d2ca34ff7735d1c75e93cd0968dee7df_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=a4XHc9muVdFyVX1Ids9LxbVtpa1bVntLMZsDgCrgtbk%3D,[size=14][b][url=https://www.kickstarter.com/projects/mcfunk/dcc-massive-modules-and-much-more-goblin-holiday-bundle/?ref=kicktraq]DCC MASSIVE Modules and Much More: Goblin Holiday Bundle[/url][/b][/size][q]A Tale of Two Sisters concludes with two folklore-inspired adventures for DCC and supplement materials for all kinds of fantasy RPGs![/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/001/436/d2ca34ff7735d1c75e93cd0968dee7df_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=a4XHc9muVdFyVX1Ids9LxbVtpa1bVntLMZsDgCrgtbk%3D[/inlineimg][/floatleft][b]Deadline:[/b]12-11-2024[url=https://kicktraq.com/projects/mcfunk/dcc-massive-modules-and-much-more-goblin-holiday-bundle/][IMG]https://kicktraq.com/projects/mcfunk/dcc-massive-modules-and-much-more-goblin-holiday-bundle//minichart.png[/IMG][/url],"$11,030.58",,"13,347.00",,1
https://www.kickstarter.com/projects/breakerpressgames/lurking-horrors-a-dcc-rpg-bestiary/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11292368#11292368,,https://kicktraq.com/projects/breakerpressgames/lurking-horrors-a-dcc-rpg-bestiary/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game,,Horrors of the Whispering Wood Collector's Box,December 17 2024,Y,USD,"11,844.00",1,"11,844.00",Y,N,Y,"$11,844",236.00%,Ended,11844,1739812326967,November 26 2024,A bestiary and hexcrawl toolkit compatible with Dungeon Crawl Classics RPG,https://i.kickstarter.com/assets/047/265/114/80e1d7cb3e4c6d2be7161a12d0feb31e_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1731524481&width=160&sig=zXKs%2BeyXnjk0GdsPLnGTsuZPWvCIGBQRwDWZ8MroBpo%3D,[size=14][b][url=https://www.kickstarter.com/projects/breakerpressgames/lurking-horrors-a-dcc-rpg-bestiary/?ref=kicktraq]Horrors of the Whispering Wood Collector's Box[/url][/b][/size][q]A bestiary and hexcrawl toolkit compatible with Dungeon Crawl Classics RPG[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/265/114/80e1d7cb3e4c6d2be7161a12d0feb31e_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&v=1731524481&width=160&sig=zXKs%2BeyXnjk0GdsPLnGTsuZPWvCIGBQRwDWZ8MroBpo%3D[/inlineimg][/floatleft][b]Deadline:[/b]12-17-2024[url=https://kicktraq.com/projects/breakerpressgames/lurking-horrors-a-dcc-rpg-bestiary/][IMG]https://kicktraq.com/projects/breakerpressgames/lurking-horrors-a-dcc-rpg-bestiary//minichart.png[/IMG][/url],"$5,018.64",,"11,844.00",,1
https://www.kickstarter.com/projects/dareluckclub/cover-stories-series-2-quick-adventures-for-dcc-mcc-and-wf/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10949079#10949079,,https://kicktraq.com/projects/dareluckclub/cover-stories-series-2-quick-adventures-for-dcc-mcc-and-wf/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game | https://rpggeek.com/rpg/28323/mutant-crawl-classics-role-playing-game | https://rpggeek.com/rpg/57287/weird-frontiers-role-playing-game,,"Cover Stories Series 2: Quick Adventures for DCC, MCC and WF",August 23 2024,Y,USD,"3,616.00",1,"3,616.00",Y,N,Y,"$3,616",451.00%,Ended,3616,1739812326628,July 30 2024,"A selection of three, 6-panel adventures to ""cover"" gaps between your campaign runs.",https://i.kickstarter.com/assets/045/732/320/b03a67c050524c4651fe19581b008866_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=O36rj%2F6sUF1iXSCRCfxwZ6icBi8WkiN99y5ZA1RZBpM%3D,"[size=14][b][url=https://www.kickstarter.com/projects/dareluckclub/cover-stories-series-2-quick-adventures-for-dcc-mcc-and-wf/?ref=kicktraq]Cover Stories Series 2: Quick Adventures for DCC, MCC and WF[/url][/b][/size][q]A selection of three, 6-panel adventures to ""cover"" gaps between your campaign runs.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/045/732/320/b03a67c050524c4651fe19581b008866_original.png?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=O36rj%2F6sUF1iXSCRCfxwZ6icBi8WkiN99y5ZA1RZBpM%3D[/inlineimg][/floatleft][b]Deadline:[/b]08-23-2024[url=https://kicktraq.com/projects/dareluckclub/cover-stories-series-2-quick-adventures-for-dcc-mcc-and-wf/][IMG]https://kicktraq.com/projects/dareluckclub/cover-stories-series-2-quick-adventures-for-dcc-mcc-and-wf//minichart.png[/IMG][/url]",$801.77,,"3,616.00",,1
https://www.kickstarter.com/projects/crimsonaddergames/h2o-pocalypse/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10534455#10534455,,https://kicktraq.com/projects/crimsonaddergames/h2o-pocalypse/,non-5E,https://rpggeek.com/rpg/10737/dungeon-crawl-classics-role-playing-game | https://rpggeek.com/rpg/62629/neon-lords-toxic-wasteland,,H2O-Pocalypse,March 10 2024,Y,USD,"2,471.00",1,"2,471.00",Y,N,Y,"$2,471",274.00%,Ended,2471,1739812326161,February 9 2024,A DCC Compatible Zine of Surf Punk Piracy in a Drowned world!,https://ksr-ugc.imgix.net/assets/043/776/501/77ec682c8e7348c0ff59cb05c62f2b05_original.png?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1706113151&auto=format&frame=1&q=92&s=5c3fb68e3bcf130f3da149816c00b987,[size=14][b][url=https://www.kickstarter.com/projects/crimsonaddergames/h2o-pocalypse/?ref=kicktraq]H2O-Pocalypse[/url][/b][/size][q]A DCC Compatible Zine of Surf Punk Piracy in a Drowned world![/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/776/501/77ec682c8e7348c0ff59cb05c62f2b05_original.png?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1706113151&auto=format&frame=1&q=92&s=5c3fb68e3bcf130f3da149816c00b987[/inlineimg][/floatleft][b]Deadline:[/b]03-10-2024[url=https://kicktraq.com/projects/crimsonaddergames/h2o-pocalypse/][IMG]https://kicktraq.com/projects/crimsonaddergames/h2o-pocalypse//minichart.png[/IMG][/url],$901.82,,"2,471.00",,1
https://www.kickstarter.com/projects/1003133567/cults-of-zahak-a-book-of-foes-for-mythras-imperative-and-brp/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=11258216#11258216,,https://kicktraq.com/projects/1003133567/cults-of-zahak-a-book-of-foes-for-mythras-imperative-and-brp/,non-5E,https://rpggeek.com/rpg/11259/mythras | https://rpggeek.com/rpg/2108/basic-roleplaying,,Cults of Zahak: A Book of Foes for Mythras Imperative & BRP,December 10 2024,Y,USD,"9,526.00",1,"9,526.00",Y,N,Y,"$9,526",381.00%,Ended,9526,1739812326941,November 12 2024,"A deep look at evil cults for your players to investigate and destroy. Compatible with Mythras Imperative, BRP, and other d100 systems.",https://i.kickstarter.com/assets/047/238/834/b0ef166da5b36cf74dec895b3638b39a_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=awcAn2TAYyQkIkzYTOEokUktTCE9SLU%2FtDfcM4Kzjok%3D,"[size=14][b][url=https://www.kickstarter.com/projects/1003133567/cults-of-zahak-a-book-of-foes-for-mythras-imperative-and-brp/?ref=kicktraq]Cults of Zahak: A Book of Foes for Mythras Imperative & BRP[/url][/b][/size][q]A deep look at evil cults for your players to investigate and destroy. Compatible with Mythras Imperative, BRP, and other d100 systems.[/q][floatleft][inlineimg]https://i.kickstarter.com/assets/047/238/834/b0ef166da5b36cf74dec895b3638b39a_original.jpg?anim=false&fit=cover&gravity=auto&height=90&origin=ugc&q=92&width=160&sig=awcAn2TAYyQkIkzYTOEokUktTCE9SLU%2FtDfcM4Kzjok%3D[/inlineimg][/floatleft][b]Deadline:[/b]12-10-2024[url=https://kicktraq.com/projects/1003133567/cults-of-zahak-a-book-of-foes-for-mythras-imperative-and-brp/][IMG]https://kicktraq.com/projects/1003133567/cults-of-zahak-a-book-of-foes-for-mythras-imperative-and-brp//minichart.png[/IMG][/url]","$2,500.26",,"9,526.00",,
https://www.kickstarter.com/projects/tyhulse/game-master-and-writers-guide-to-creating-magic-schools/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10415058#10415058,,https://kicktraq.com/projects/tyhulse/game-master-and-writers-guide-to-creating-magic-schools/,non-5E,https://rpggeek.com/rpg/1235/books-about-roleplaying-games,,Game Master and Writer's Guide to Creating Magic Schools,February 6 2024,Y,USD,953.00,1,953.00,Y,N,Y,$953,238.00%,Ended,953,1739812325986,January 11 2024,"Delve into hollowed halls of magical learning, and intrigue filled halls, in this guide to creating magic school campaign settings.",https://ksr-ugc.imgix.net/assets/043/553/014/8a52a81eb86acdcdd96a1dba35f678df_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1704412175&auto=format&frame=1&q=92&s=530bf21040d66e1c32f777d8ea9fbf5b,"[size=14][b][url=https://www.kickstarter.com/projects/tyhulse/game-master-and-writers-guide-to-creating-magic-schools/?ref=kicktraq]Game Master and Writer's Guide to Creating Magic Schools[/url][/b][/size][q]Delve into hollowed halls of magical learning, and intrigue filled halls, in this guide to creating magic school campaign settings.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/553/014/8a52a81eb86acdcdd96a1dba35f678df_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1704412175&auto=format&frame=1&q=92&s=530bf21040d66e1c32f777d8ea9fbf5b[/inlineimg][/floatleft][b]Deadline:[/b]02-06-2024[url=https://kicktraq.com/projects/tyhulse/game-master-and-writers-guide-to-creating-magic-schools/][IMG]https://kicktraq.com/projects/tyhulse/game-master-and-writers-guide-to-creating-magic-schools//minichart.png[/IMG][/url]",$400.42,,953.00,,
https://www.kickstarter.com/projects/hotch/splat-5/?ref=kicktraq,https://rpggeek.com/geeklist/328581/kickstarter-rpg-game-books-2024?itemid=10520436#10520436,,https://kicktraq.com/projects/hotch/splat-5/,non-5E,https://rpggeek.com/rpg/1235/books-about-roleplaying-games,,Splat #5: Golden,February 20 2024,Y,USD,"2,247.00",1,"2,247.00",Y,N,Y,"$2,247",112.00%,Ended,2247,1739812326036,February 6 2024,Looking back at 50 years of TTRPGs with interviews from industry trend-setters.,https://ksr-ugc.imgix.net/assets/043/897/257/6a7d7deaa1e0735bf82c21f973134921_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707098730&auto=format&frame=1&q=92&s=e199e2f6c568275b338638d8bfdef819,[size=14][b][url=https://www.kickstarter.com/projects/hotch/splat-5/?ref=kicktraq]Splat #5: Golden[/url][/b][/size][q]Looking back at 50 years of TTRPGs with interviews from industry trend-setters.[/q][floatleft][inlineimg]https://ksr-ugc.imgix.net/assets/043/897/257/6a7d7deaa1e0735bf82c21f973134921_original.jpg?ixlib=rb-4.1.0&crop=faces&w=160&h=90&fit=crop&v=1707098730&auto=format&frame=1&q=92&s=e199e2f6c568275b338638d8bfdef819[/inlineimg][/floatleft][b]Deadline:[/b]02-20-2024[url=https://kicktraq.com/projects/hotch/splat-5/][IMG]https://kicktraq.com/projects/hotch/splat-5//minichart.png[/IMG][/url],"$2,006.25",,"2,247.00",,
